DATE,IPN2121N
2001-01-01,113.2036
2001-02-01,115.8975
2001-03-01,119.6963
2001-04-01,115.1782
2001-05-01,111.7817
2001-06-01,116.5447
2001-07-01,107.5830
2001-08-01,116.5085
2001-09-01,116.4085
2001-10-01,117.2835
2001-11-01,114.9510
2001-12-01,110.2888
2002-01-01,119.6487
2002-02-01,119.6812
2002-03-01,111.3103
2002-04-01,109.3551
2002-05-01,106.9461
2002-06-01,109.0765
2002-07-01,99.5429
2002-08-01,109.5035
2002-09-01,112.0890
2002-10-01,109.9849
2002-11-01,108.7693
2002-12-01,107.5570
2003-01-01,108.1053
2003-02-01,108.2231
2003-03-01,108.6385
2003-04-01,108.4307
2003-05-01,107.8379
2003-06-01,109.6921
2003-07-01,102.1653
2003-08-01,107.9805
2003-09-01,108.5386
2003-10-01,108.8036
2003-11-01,105.5322
2003-12-01,106.1561
2004-01-01,110.9086
2004-02-01,111.4725
2004-03-01,110.8960
2004-04-01,111.1395
2004-05-01,105.9246
2004-06-01,115.6013
2004-07-01,108.8431
2004-08-01,112.1980
2004-09-01,112.6985
2004-10-01,112.1431
2004-11-01,111.4547
2004-12-01,110.2765
2005-01-01,111.1566
2005-02-01,116.7442
2005-03-01,112.5643
2005-04-01,115.7186
2005-05-01,107.7963
2005-06-01,116.2236
2005-07-01,111.1528
2005-08-01,113.6214
2005-09-01,115.0025
2005-10-01,113.2957
2005-11-01,114.5039
2005-12-01,109.4757
2006-01-01,116.8317
2006-02-01,115.9837
2006-03-01,118.1284
2006-04-01,119.9071
2006-05-01,115.4611
2006-06-01,116.7821
2006-07-01,113.4758
2006-08-01,115.5363
2006-09-01,114.7359
2006-10-01,116.5511
2006-11-01,114.9544
2006-12-01,114.4025
2007-01-01,114.7848
2007-02-01,115.0986
2007-03-01,115.7247
2007-04-01,114.0898
2007-05-01,111.9052
2007-06-01,117.7581
2007-07-01,108.4470
2007-08-01,115.2288
2007-09-01,114.6839
2007-10-01,112.9482
2007-11-01,114.7889
2007-12-01,110.9372
2008-01-01,113.4373
2008-02-01,116.5755
2008-03-01,116.5360
2008-04-01,116.7484
2008-05-01,114.5543
2008-06-01,111.2181
2008-07-01,113.3883
2008-08-01,120.1169
2008-09-01,118.1603
2008-10-01,120.0852
2008-11-01,118.7828
2008-12-01,114.3924
2009-01-01,113.6370
2009-02-01,116.1006
2009-03-01,112.9709
2009-04-01,106.6575
2009-05-01,101.9516
2009-06-01,106.0246
2009-07-01,103.0692
2009-08-01,107.2434
2009-09-01,104.3234
2009-10-01,103.0448
2009-11-01,103.7700
2009-12-01,98.8023
2010-01-01,102.3148
2010-02-01,107.0283
2010-03-01,111.1299
2010-04-01,108.4130
2010-05-01,101.8955
2010-06-01,105.5075
2010-07-01,105.3480
2010-08-01,108.4469
2010-09-01,110.2920
2010-10-01,108.4141
2010-11-01,108.0540
2010-12-01,105.7717
2011-01-01,109.6809
2011-02-01,110.8926
2011-03-01,110.3504
2011-04-01,107.6391
2011-05-01,102.2455
2011-06-01,106.2784
2011-07-01,101.2336
2011-08-01,108.6109
2011-09-01,110.6959
2011-10-01,111.8056
2011-11-01,110.6851
2011-12-01,109.2653
2012-01-01,110.6782
2012-02-01,106.1433
2012-03-01,100.7145
2012-04-01,95.5168
2012-05-01,94.2136
2012-06-01,100.3932
2012-07-01,99.5918
2012-08-01,102.5240
2012-09-01,100.6232
2012-10-01,96.3040
2012-11-01,98.4770
2012-12-01,94.8204
2013-01-01,96.9356
2013-02-01,99.9433
2013-03-01,98.2662
2013-04-01,94.4421
2013-05-01,95.6803
2013-06-01,99.6034
2013-07-01,96.9888
2013-08-01,101.4445
2013-09-01,97.5593
2013-10-01,91.6869
2013-11-01,94.5708
2013-12-01,96.4535
2014-01-01,94.1802
2014-02-01,96.5260
2014-03-01,103.4176
2014-04-01,98.1046
2014-05-01,97.5167
2014-06-01,95.7591
2014-07-01,95.1304
2014-08-01,103.1182
2014-09-01,97.8907
2014-10-01,95.5287
2014-11-01,99.7621
2014-12-01,96.5110
2015-01-01,99.8092
2015-02-01,91.8887
2015-03-01,93.9071
2015-04-01,87.7068
2015-05-01,82.7730
2015-06-01,78.0564
2015-07-01,85.2379
2015-08-01,96.5097
2015-09-01,90.0660
2015-10-01,85.7945
2015-11-01,80.9177
2015-12-01,69.8012
2016-01-01,70.9477
2016-02-01,69.3722
2016-03-01,61.8404
2016-04-01,57.7287
2016-05-01,61.1189
2016-06-01,69.5579
